ID,Location,Specific Location,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Lux,Estate,rank,Price
1219,lekki,agungi lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1220,lekki,oral oral estate lekki lagos,5,3,2,3,0,0,0,0,7,1700000
1221,lekki,osapa london lekki lagos,9,5,4,5,1,0,0,1,9,4000000
1222,lekki,jakande lekki lagos,7,4,3,4,0,0,0,1,7,2800000
1223,lekki,.. ikota lekki lagos,5,3,2,3,0,0,0,0,7,1300000
1224,lekki,lekki phase 1 lekki lagos,9,5,4,5,1,1,1,1,9,5500000
1225,lekki,- osapa london lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1226,lekki,nicon town lekki lagos,11,6,5,6,1,1,0,1,10,6200000
1227,lekki,lekki phase 1 lekki lagos,15,8,7,8,1,1,0,1,10,7000000
1228,lekki,off admiralty way lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,4000000
1229,lekki,maruwa lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2800000
1230,lekki,off admiralty way lekki phase 1 lekki lagos,7,4,3,4,1,0,0,1,7,3300000
1231,lekki,pinnock estate osapa london lekki lagos,11,6,5,6,0,0,0,1,10,6000000
1232,lekki,norther foreshore lekki phase 1 lekki lagos,8,4,4,4,1,1,1,1,7,3500000
1233,lekki,osapa london lekki lagos,5,3,2,3,0,0,0,0,7,1800000
1234,lekki,osapa london lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1235,lekki,ikota lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1236,lekki,chevy view estate chevron lekki lagos,9,5,4,5,1,0,0,1,9,4000000
1237,lekki,osapa london lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1238,lekki,lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1239,lekki,chevron lekki lagos,7,4,3,4,1,0,0,1,7,3000000
1240,lekki,ikota lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1241,lekki,chevron lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1242,lekki,lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,4300000
1243,lekki,lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,4000000
1244,lekki,lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,3500000
1245,lekki,lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,3500000
1246,lekki,oniru victoria island lagos,11,6,5,6,1,1,0,1,10,6200000
1247,lekki,lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,3500000
1248,lekki,lekki phase 1 lekki lagos,12,6,6,6,1,1,0,1,10,6200000
